iter	Passed	Remaining
438	1314	1680
439	1316	1676
440	1319	1672
441	1322	1669
442	1324	1665
443	1327	1662
444	1329	1658
445	1332	1655
446	1334	1651
447	1337	1648
448	1339	1644
449	1341	1640
450	1344	1636
451	1347	1633
452	1349	1629
453	1351	1625
454	1354	1622
455	1356	1617
456	1358	1613
457	1361	1610
458	1363	1607
459	1367	1604
460	1371	1603
461	1373	1600
462	1377	1597
463	1380	1594
464	1382	1590
465	1386	1589
466	1388	1585
467	1391	1581
468	1393	1577
469	1395	1574
470	1398	1570
471	1401	1568
472	1404	1564
473	1406	1560
474	1408	1557
475	1411	1554
476	1414	1550
477	1417	1547
478	1419	1544
479	1422	1541
480	1425	1537
481	1427	1534
482	1431	1531
483	1433	1528
484	1435	1524
485	1438	1521
486	1440	1517
487	1443	1514
488	1446	1511
489	1449	1509
490	1452	1505
491	1455	1502
492	1458	1499
493	1461	1496
494	1463	1493
495	1466	1489
496	1469	1486
497	1471	1483
498	1474	1480
499	1477	1477
500	1480	1474
501	1482	1470
502	1484	1467
503	1487	1463
504	1490	1461
505	1492	1457
506	1495	1453
507	1497	1450
508	1500	1447
509	1503	1444
510	1506	1441
511	1509	1438
512	1511	1435
513	1514	1431
514	1516	1428
515	1519	1425
516	1522	1422
517	1524	1418
518	1527	1415
519	1530	1412
520	1533	1409
521	1536	1406
522	1538	1403
523	1541	1400
524	1544	1397
525	1546	1393
526	1550	1392
527	1553	1388
528	1556	1385
529	1559	1382
530	1561	1379
531	1564	1376
532	1567	1373
533	1570	1370
534	1572	1367
535	1575	1364
536	1578	1360
537	1581	1358
538	1584	1355
539	1587	1351
540	1589	1348
541	1592	1345
542	1595	1342
543	1598	1339
544	1600	1336
545	1603	1333
546	1606	1330
547	1609	1327
548	1612	1324
549	1614	1321
550	1617	1318
551	1620	1314
552	1622	1311
553	1625	1308
554	1627	1305
555	1630	1302
556	1633	1299
557	1636	1296
558	1638	1292
559	1641	1289
560	1644	1286
561	1647	1284
562	1650	1280
563	1653	1278
564	1656	1275
565	1659	1272
566	1661	1269
567	1664	1266
568	1667	1262
569	1670	1260
570	1672	1256
571	1675	1253
572	1677	1249
573	1679	1246
574	1682	1243
575	1684	1240
576	1687	1237
577	1690	1234
578	1693	1231
579	1695	1228
580	1698	1224
581	1701	1222
582	1703	1218
583	1706	1215
584	1708	1212
585	1711	1209
586	1714	1206
587	1717	1203
588	1720	1200
589	1723	1197
590	1726	1194
591	1728	1191
592	1732	1188
593	1734	1185
594	1737	1182
595	1740	1179
596	1743	1176
597	1746	1173
598	1749	1171
599	1751	1167
600	1754	1164
601	1757	1161
602	1759	1158
603	1763	1155
604	1765	1152
605	1768	1149
606	1771	1146
607	1774	1143
608	1777	1141
609	1779	1138
610	1782	1134
611	1784	1131
612	1787	1128
613	1790	1125
614	1793	1122
615	1796	1119
616	1798	1116
617	1801	1113
618	1804	1110
619	1807	1107
620	1809	1104
621	1811	1101
622	1814	1098
623	1817	1094
624	1819	1091
625	1823	1089
626	1826	1086
627	1829	1083
628	1832	1080
629	1834	1077
630	1839	1075
631	1842	1072
632	1845	1069
633	1848	1066
634	1850	1063
635	1853	1060
636	1856	1057
637	1859	1054
638	1861	1051
639	1864	1048
640	1869	1046
641	1872	1043
642	1875	1041
643	1877	1038
644	1880	1035
645	1883	1032
646	1885	1028
647	1888	1025
648	1891	1022
649	1893	1019
650	1897	1017
651	1900	1014
652	1902	1011
653	1905	1008
654	1908	1005
655	1912	1002
656	1914	999
657	1917	996
658	1920	993
659	1923	990
660	1926	988
661	1929	985
662	1931	982
663	1934	978
664	1937	975
665	1938	972
666	1942	969
667	1944	966
668	1946	963
669	1949	960
670	1951	956
671	1954	953
672	1957	951
673	1975	955
674	1978	952
675	1981	949
676	1983	946
677	1986	943
678	1989	940
679	1992	937
680	1995	934
681	1998	931
682	2001	928
683	2004	925
684	2006	922
685	2010	920
686	2012	917
687	2015	913
688	2018	911
689	2021	908
690	2023	904
691	2026	901
692	2028	898
693	2031	895
694	2034	893
695	2037	890
696	2040	886
697	2043	884
698	2045	880
699	2049	878
700	2052	875
701	2054	872
702	2057	869
703	2060	866
704	2063	863
705	2066	860
706	2069	857
707	2072	854
708	2074	851
709	2077	848
710	2080	845
711	2083	842
712	2085	839
713	2087	836
714	2090	833
715	2094	830
716	2096	827
717	2099	824
718	2101	821
719	2104	818
720	2107	815
721	2110	812
722	2113	809
723	2116	806
724	2118	803
725	2121	800
726	2125	798
727	2127	795
728	2130	792
729	2133	789
730	2136	786
731	2139	783
732	2142	780
733	2144	777
734	2147	774
735	2149	771
736	2152	768
737	2156	765
738	2159	762
739	2162	759
740	2165	756
741	2167	753
742	2171	750
743	2174	748
744	2176	745
745	2179	742
746	2182	739
747	2185	736
748	2188	733
749	2191	730
750	2194	727
751	2196	724
752	2200	721
753	2203	718
754	2205	715
755	2208	712
756	2211	709
757	2213	706
758	2217	704
759	2219	700
760	2222	698
761	2225	694
762	2227	691
763	2231	689
764	2233	686
765	2236	683
766	2238	680
767	2241	677
768	2244	674
769	2246	671
770	2249	668
771	2251	665
772	2254	662
773	2257	659
774	2259	656
775	2262	653
776	2265	650
777	2267	647
778	2270	644
779	2273	641
780	2276	638
781	2278	635
782	2281	632
783	2284	629
784	2287	626
785	2290	623
786	2293	620
787	2296	617
788	2298	614
789	2301	611
790	2304	608
791	2306	605
792	2308	602
793	2310	599
794	2312	596
795	2314	593
796	2317	590
797	2320	587
798	2323	584
799	2325	581
800	2328	578
801	2331	575
802	2334	572
803	2336	569
804	2339	566
805	2341	563
806	2344	560
807	2346	557
808	2349	554
809	2352	551
810	2354	548
811	2356	545
812	2359	542
813	2362	539
814	2364	536
815	2366	533
816	2369	530
817	2372	527
818	2375	524
819	2378	522
820	2380	519
821	2382	515
822	2384	512
823	2386	509
824	2389	506
825	2392	503
826	2394	500
827	2397	498
828	2399	494
829	2401	491
830	2405	489
831	2407	486
832	2410	483
833	2412	480
834	2414	477
835	2417	474
836	2420	471
837	2422	468
838	2425	465
839	2428	462
840	2431	459
841	2433	456
842	2436	453
843	2439	450
844	2442	447
845	2444	445
846	2447	442
847	2450	439
848	2452	436
849	2455	433
850	2458	430
851	2461	427
852	2464	424
853	2466	421
854	2469	418
855	2472	415
856	2475	412
857	2477	410
858	2481	407
859	2483	404
860	2485	401
861	2488	398
862	2490	395
863	2493	392
864	2496	389
865	2498	386
866	2500	383
867	2503	380
868	2505	377
869	2509	374
870	2511	371
871	2514	369
872	2516	366
873	2519	363
874	2522	360
875	2525	357
876	2528	354
877	2531	351
878	2534	348
879	2537	346
880	2541	343
881	2543	340
882	2546	337
883	2549	334
884	2552	331
885	2555	328
886	2557	325
887	2560	322
888	2563	320
889	2566	317
890	2569	314
891	2571	311
892	2574	308
893	2578	305
894	2581	302
895	2583	299
896	2586	297
897	2589	294
898	2591	291
899	2594	288
900	2597	285
901	2600	282
902	2603	279
903	2605	276
904	2608	273
905	2611	270
906	2614	268
907	2617	265
908	2620	262
909	2622	259
910	2625	256
911	2628	253
912	2631	250
913	2634	247
914	2637	244
915	2639	242
916	2642	239
917	2645	236
918	2648	233
919	2651	230
920	2654	227
921	2657	224
922	2659	221
923	2662	218
924	2665	216
925	2668	213
926	2671	210
927	2674	207
928	2676	204
929	2679	201
930	2682	198
931	2685	195
932	2688	193
933	2691	190
934	2694	187
935	2696	184
936	2699	181
937	2702	178
938	2705	175
939	2707	172
940	2710	169
941	2713	167
942	2716	164
943	2719	161
944	2722	158
945	2725	155
946	2727	152
947	2730	149
948	2733	146
949	2736	144
950	2739	141
951	2741	138
952	2744	135
953	2747	132
954	2750	129
955	2752	126
956	2755	123
957	2757	120
958	2761	118
959	2764	115
960	2767	112
961	2770	109
962	2772	106
963	2774	103
964	2777	100
965	2780	97
966	2783	94
967	2785	92
968	2788	89
969	2791	86
970	2794	83
971	2797	80
972	2799	77
973	2802	74
974	2805	71
975	2808	69
976	2811	66
977	2814	63
978	2816	60
979	2819	57
980	2822	54
981	2825	51
982	2828	48
983	2831	46
984	2833	43
985	2836	40
986	2839	37
987	2842	34
988	2844	31
989	2847	28
990	2850	25
991	2853	23
992	2856	20
993	2859	17
994	2862	14
995	2865	11
996	2868	8
997	2871	5
998	2874	2
999	2876	0
